"train/global_step","vit-large-patch16-384-wot - _step","vit-large-patch16-384-wot - _step__MIN","vit-large-patch16-384-wot - _step__MAX","vit-large-patch16-384-wot - eval/accuracy","vit-large-patch16-384-wot - eval/accuracy__MIN","vit-large-patch16-384-wot - eval/accuracy__MAX","vit-large-patch16-384 - _step","vit-large-patch16-384 - _step__MIN","vit-large-patch16-384 - _step__MAX","vit-large-patch16-384 - eval/accuracy","vit-large-patch16-384 - eval/accuracy__MIN","vit-large-patch16-384 - eval/accuracy__MAX"
"1500","164","164","164","0.8934579491615295","0.8934579491615295","0.8934579491615295","164","164","164","0.8934579491615295","0.8934579491615295","0.8934579491615295"
"1600","175","175","175","0.8906542062759399","0.8906542062759399","0.8906542062759399","175","175","175","0.9018691778182983","0.9018691778182983","0.9018691778182983"
"1700","186","186","186","0.8934579491615295","0.8934579491615295","0.8934579491615295","186","186","186","0.8878504633903503","0.8878504633903503","0.8878504633903503"
"1800","197","197","197","0.8822429776191711","0.8822429776191711","0.8822429776191711","197","197","197","0.8841121792793274","0.8841121792793274","0.8841121792793274"
"1900","208","208","208","0.8775700926780701","0.8775700926780701","0.8775700926780701","208","208","208","0.895327091217041","0.895327091217041","0.895327091217041"
"2000","219","219","219","0.8925233483314514","0.8925233483314514","0.8925233483314514","219","219","219","0.8878504633903503","0.8878504633903503","0.8878504633903503"
"2100","230","230","230","0.8906542062759399","0.8906542062759399","0.8906542062759399","230","230","230","0.8934579491615295","0.8934579491615295","0.8934579491615295"
"2200","241","241","241","0.8962616920471191","0.8962616920471191","0.8962616920471191","241","241","241","0.8971962332725525","0.8971962332725525","0.8971962332725525"
"2300","252","252","252","0.8990654349327087","0.8990654349327087","0.8990654349327087","252","252","252","0.8934579491615295","0.8934579491615295","0.8934579491615295"
"2400","263","263","263","0.9028037190437317","0.9028037190437317","0.9028037190437317","263","263","263","0.8915888071060181","0.8915888071060181","0.8915888071060181"
"2500","274","274","274","0.8841121792793274","0.8841121792793274","0.8841121792793274","274","274","274","0.8822429776191711","0.8822429776191711","0.8822429776191711"
"2600","285","285","285","0.9084112048149109","0.9084112048149109","0.9084112048149109","285","285","285","0.8915888071060181","0.8915888071060181","0.8915888071060181"
"2700","296","296","296","0.8971962332725525","0.8971962332725525","0.8971962332725525","296","296","296","0.8915888071060181","0.8915888071060181","0.8915888071060181"
"2800","307","307","307","0.9056074619293213","0.9056074619293213","0.9056074619293213","307","307","307","0.9018691778182983","0.9018691778182983","0.9018691778182983"
"2900","318","318","318","0.9009345769882202","0.9009345769882202","0.9009345769882202","318","318","318","0.8943925499916077","0.8943925499916077","0.8943925499916077"
"3000","329","329","329","0.8934579491615295","0.8934579491615295","0.8934579491615295","329","329","329","0.8925233483314514","0.8925233483314514","0.8925233483314514"
"3100","340","340","340","0.8943925499916077","0.8943925499916077","0.8943925499916077","340","340","340","0.8878504633903503","0.8878504633903503","0.8878504633903503"
"3200","351","351","351","0.8962616920471191","0.8962616920471191","0.8962616920471191","351","351","351","0.8962616920471191","0.8962616920471191","0.8962616920471191"
"3300","362","362","362","0.8943925499916077","0.8943925499916077","0.8943925499916077","362","362","362","0.8897196054458618","0.8897196054458618","0.8897196054458618"
"3400","373","373","373","0.895327091217041","0.895327091217041","0.895327091217041","373","373","373","0.8897196054458618","0.8897196054458618","0.8897196054458618"
"3500","384","384","384","0.8925233483314514","0.8925233483314514","0.8925233483314514","384","384","384","0.8990654349327087","0.8990654349327087","0.8990654349327087"
"3600","395","395","395","0.895327091217041","0.895327091217041","0.895327091217041","395","395","395","0.8981308341026306","0.8981308341026306","0.8981308341026306"
"3700","406","406","406","0.8841121792793274","0.8841121792793274","0.8841121792793274","406","406","406","0.9009345769882202","0.9009345769882202","0.9009345769882202"
"3800","417","417","417","0.8971962332725525","0.8971962332725525","0.8971962332725525","417","417","417","0.9037383198738098","0.9037383198738098","0.9037383198738098"
"3900","428","428","428","0.8981308341026306","0.8981308341026306","0.8981308341026306","428","428","428","0.8962616920471191","0.8962616920471191","0.8962616920471191"
"4000","439","439","439","0.8971962332725525","0.8971962332725525","0.8971962332725525","439","439","439","0.9028037190437317","0.9028037190437317","0.9028037190437317"
"4100","450","450","450","0.8962616920471191","0.8962616920471191","0.8962616920471191","450","450","450","0.8943925499916077","0.8943925499916077","0.8943925499916077"
